keys,pt_BR,en
tb2754784ec,"Se você precisar correr, mantenha [wave amp=20 freq=3]""alt""[/wave] apertado enquanto anda pra apertar o passo.[wait=0.2]\nIsso vai te cansar aos poucos,[wait=0.2] e você não vai conseguir correr mais por um tempinho se esvaziar a barrinha verde em cima da tua cabeça.","If you need to run, keep the [wave amp=20 freq=3]""alt""[/wave] key pressed while moving to sprint.[wait=0.2] \nThat'll tire you out though,[wait=0.2] and you won't be able to run again for a while if you empty out that green bar above your head."
tf371735e08,"Se precisar ir mais devagar, mantenha [wave amp=20 freq=3]""shift""[/wave] apertada enquanto anda para se esgueirar.[wait=0.2] \nEnquanto se esgueirando, você pode se virar um pouco pro lado para ver atrás de cantos ao se mover para a esquerda ou direita.","If you need to slow down, keep the [wave amp=20 freq=3]""shift""[/wave] key pressed while moving to sneak.[wait=0.2] \nWhile sneaking, you can lean a little to your sides to look around corners by moving left or right."
t203cbc45d6,"E por último, você pode abrir e fechar portas ao apertar a tecla [wave amp=20 freq=3]""e""[/wave] enquanto perto de uma.\n[wait=0.4]Sacou tudo?","Lastly, you can open and close doors by pressing the [wave amp=20 freq=3]""e""[/wave] key while next to one.\n[wait=0.4]Got all of that?"
t73d44a2d86,V-você disse algo sobre um mapa mais cedo...,Y-you said something about a map earlier...
t5c726ce5f4,H-hum. Sim.,H-hm. Yes.
tcb899cb6ae,Bom.[wait=0.2] Agora vaza.,Good.[wait=0.2]  Now go.
tcf256f124d,O que que tu ainda ta fazendo aqui?[wait=0.2] Mete o pé coisinha besta.,"What are you still doing here?[wait=0.2] Get going, dumb thingy."
t26af178fea,Como eu uso aquele mapa que o senhor me mandou pegar?,H-how do i even use that map you told me to get?
t65bf32e4b8,Como que... como que faço isso?,H-how... how can i get there?
t904f0ac6e3,S-Sim...,Y-yes...
t92342aba2c,"Ah,[wait=0.2] peste,[wait=0.2] esse portão estava aberto da última vez que eu passei aqui.\n[wait=0.4]Tem outra escadaria do outro lado desse andar,[wait=0.2] tenta chegar lá e a gente se fala denovo.","Oh,[wait=0.2] dang it,[wait=0.2] that gate was unlocked last time I was around here.\n[wait=0.4]There's another stairway on the other side of this floor,[wait=0.2] try and get there, then we can actually talk."
Estranho,Estranho,Stranger
